nt-0	2004
nt-194	Marvel's The Avengers, Iron Man 3, Harry Potter and the Deathly Hallows – Part 2, The Dark Knight Rises, The Dark Knight, The Hunger Games: Catching Fire, The Hunger Games, Spider-Man 3, The Twilight Saga: New Moon, The Twilight Saga: Breaking Dawn - Part 2, The Twilight Saga: Breaking Dawn - Part 1, Pirates of the Caribbean: Dead Man's Chest, Iron Man 2, Harry Potter and the Deathly Hallows – Part 1, Shrek the Third, Man of Steel, Alice in Wonderland, Spider-Man, Pirates of the Caribbean: At World's End
nt-195	Julie Covington, Pussyfoot, Andy Gibb
nt-196	1976
nt-197	Frozen, 300: Rise of an Empire
nt-198	Columbia
nt-199	1
nt-200	30
nt-201	124935
nt-202	Sanuki
nt-203	Nezir Jaupaj (PKSH) (2.63 %)
nt-204	8
nt-205	5
nt-206	146.080
nt-207	Harvard Mark I – IBM ASCC
nt-208	Roch Pinard
nt-209	Pixiedust
nt-210	25
nt-211	Round of 16
nt-212	6
nt-213	Amplistan
nt-214	Sweden Democrats
nt-215	CHW
nt-216	\You're Gettin' to Me Again\
nt-217	Château de Pouancé
nt-218	18th
nt-219	Indira Gandhi Peace Prize for Disarmament and Development
nt-220	Myron Greenberg
nt-221	Dani Sordo, Marc Marti
nt-222	United States lightship LV-72
nt-223	1998
nt-224	Cornell University
nt-225	Ciudad Capital
nt-226	December 21
nt-227	1999
nt-228	39
nt-229	T.V. SivaraoPantulu
nt-230	Dario Cologna, Johan Olsson, Daniel Richardsson, Iivo Niskanen
nt-231	1993
nt-232	4
nt-233	17
nt-234	Tianhe Stadium, Guangzhou
nt-235	WIT Georgia
nt-236	Willie Robinson
nt-237	10
nt-238	Yes
nt-239	2010
nt-240	First Canadian Place
nt-241	1982/83
nt-242	80 t
nt-243	1.75
nt-244	5
nt-245	Natasha 'Nat' Wilson
nt-246	Russia
nt-247	7 years
nt-248	1
nt-249	6
nt-250	1
nt-251	33
nt-252	1
nt-253	3
nt-254	RTÉ Studios
nt-255	2010/11
nt-256	8
nt-257	Herogasm
nt-258	3
nt-259	Cheat on you
nt-260	Helen Oxenbury
nt-261	1.070
nt-262	January
nt-263	29.2
nt-264	0
nt-265	3rd
nt-266	García, Rodríguez
nt-267	7
nt-268	28 February 2012
nt-269	Leeds United
nt-270	United States
nt-271	1911
nt-272	Mercedes-Benz E320 Bluetec
nt-273	AL-31
nt-274	13
nt-275	14
nt-276	16
nt-277	5
nt-278	2
nt-279	5
nt-280	34
nt-281	6
nt-282	24
nt-283	3
nt-284	18
nt-285	Jean-Philippe Ruggia
nt-286	Yes, most trains are operational.
nt-287	1
nt-288	John and Eliza Barr Patterson House
nt-289	Minnesota Vikings
nt-290	33.56%, 21.02%, 14.52%, 27.89%
nt-291	8
nt-292	4
nt-293	John Mack
nt-294	14
nt-295	4
nt-296	World Championships
nt-297	Tony Awards, Drama Desk Awards
nt-298	12
nt-299	Away
nt-300	8
nt-301	115
nt-302	5
nt-303	5
nt-304	17
nt-305	Czechoslovakia
nt-306	more
nt-307	7
nt-308	12
nt-309	Shot put
nt-310	2
nt-311	1920
nt-312	No
nt-313	Alexandra Plaza
nt-314	3
nt-315	No
nt-316	Hot Thing
nt-317	February 2012
nt-318	17 weeks
nt-319	3
nt-320	Wimbledon
nt-321	7
nt-322	76265
nt-323	1988, 1989
nt-324	1968
nt-325	Wayne Gretzky
nt-326	60 to 64
nt-327	2
nt-328	8
nt-329	Katja Saarinen
nt-330	518
nt-331	Chuck Thompson
nt-332	7
nt-333	United States
nt-334	increase
nt-335	Bayern Munich, Borussia Dortmund
nt-336	Edwin R. Clarke Library
nt-337	Ten Wood
nt-338	Harry Howell, February 22, 2009
nt-339	Brian Carney
nt-340	4
nt-341	3
nt-342	Samantha Smith
nt-343	Asian Championships
nt-344	317
nt-345	Lester B. Pearson
nt-346	8
nt-347	Australian Open
nt-348	Biu Chun Rangers
nt-349	Mount Pinchot, Mount Dubois, Mount Tom, Mount Gabb, Mount Morgan, Mount Kaweah, Mount Darwin, Mount Keith, Mount Humphreys, Red Slate Mountain, Mount Ritter
nt-350	4
nt-351	less
nt-352	perfect fifth, septendecimal tritone
nt-353	Erik Lesser
nt-354	more
nt-355	Steven Shepp
nt-356	6
nt-357	4
nt-358	Geir Vídalín
nt-359	3
nt-360	3
nt-361	Runner-up
nt-362	Nigeria LNG
nt-363	Silvia Sperber (FRG)
nt-364	Tiger Woods
nt-365	January 1868
nt-366	ABC, HBO
nt-367	21
nt-368	2006
nt-369	France
nt-370	1986
nt-371	22 October 1976
nt-372	August 7
nt-373	5
nt-374	2
nt-375	That Girl
nt-376	13
nt-377	3
nt-378	Ovie Soko
nt-379	Showdance
nt-380	No
nt-381	Robson Green & Jerome Flynn
nt-382	Boxing
nt-383	793
nt-384	Motherwell
nt-385	No
nt-386	Paula Jean Myers-Pope (USA)
nt-387	'Timber' by Pitbull feat. Ke$ha
nt-388	1
nt-389	Over cooked
nt-390	62
nt-391	i
nt-392	111
nt-393	January
nt-394	7
nt-395	65 m
nt-396	Valencia CC
nt-397	3
nt-398	2,800
nt-399	Boston College
nt-400	5
nt-401	3–4
nt-402	mobile phones
nt-403	14.0%
nt-404	yes
nt-405	6
nt-406	2005
nt-407	Mumbai
nt-408	2
nt-409	Porsche 911 Carrera RSR
nt-410	Anime Friends
nt-411	12
nt-412	Germany
nt-413	Stanford
nt-414	Yes
nt-415	15,695
nt-416	56 m
nt-417	4
nt-418	15
nt-419	\Cat Amongst the Pigeons\"
nt-420	Stay Around
nt-421	6
nt-422	Antologie, Arven
nt-423	4
nt-424	Iceland
nt-425	3
nt-426	3
nt-427	LaRon Landry
nt-428	7
nt-429	Antipolo
nt-430	1
nt-431	2
nt-432	203.0
nt-433	7
nt-434	6
nt-435	Liverpool
nt-436	2003
nt-437	Basket Rimini Crabs, Aurora Basket Jesi, Andrea Costa Imola
nt-438	3
nt-439	46
nt-440	10
nt-441	21
nt-442	6
nt-443	Miyazaki Maglev Test Track
nt-444	10
nt-445	2013
nt-446	4
nt-447	2
nt-448	Music and Lyrics, Dan in Real Life, I Think I Love My Wife
nt-449	5
nt-450	46
nt-451	Davey Richards
nt-452	3:40
nt-453	2
nt-454	11
nt-455	До свидания, See You Later (Do Svidaniya)
nt-456	Arzew GL4Z
nt-457	51130
nt-458	6
nt-459	6
nt-460	40,000
nt-461	7,824
nt-462	1976
nt-463	2,192
nt-464	Russia
nt-465	5
nt-466	Waitakere United
nt-467	Huelva
nt-468	Dorian Grays Portræt
nt-469	2008
nt-470	29
nt-471	8
nt-472	#1 NC State
nt-473	Veteran, Fairfield
nt-474	Nigel Mansell
nt-475	50 Cent: Bulletproof
nt-476	39
nt-477	Gordon Dahlgren, Ray Johnson
nt-478	Debra Lorraine Estes
nt-479	2
nt-480	Cylinder
nt-481	1
nt-482	26 February 2010
nt-483	3.5
nt-484	Michel Deuzet
nt-485	Romney
nt-486	9,997
nt-487	9717
nt-488	1
nt-489	Morris H. Wickman (C), Charles Fred White (Prog)
nt-490	60
nt-491	Cincinnati Saints
nt-492	4
nt-493	159
nt-494	2
nt-495	Son Of Niah
nt-496	USS Lawrence (DD-8)
nt-497	14.83
nt-498	3
nt-499	McCain
nt-500	Ireland
nt-501	4
nt-502	3
nt-503	China
nt-504	39
nt-505	GKN Aquatrack
nt-506	16
nt-507	1 year, 5 months
nt-508	Jones Stadium
nt-509	Ford Focus RS WRC 07
nt-510	2, 2, 2
nt-511	Frank Mir, UFC 81
nt-512	0.227
nt-513	18
nt-514	4
nt-515	3
nt-516	Tokyo
nt-517	Neither
nt-518	5
nt-519	Lee Young-Sun
nt-520	43
nt-521	1, 2, 1, 1, 2, 2
nt-522	May 19, 2012
nt-523	No
nt-524	Jas Mangat
nt-525	Candlestick Park tornado
nt-526	3
nt-527	Akakios Kakiasvilis
nt-528	Guto Inocente, Lavar Johnson
nt-529	3
nt-530	Scott Speed, Justin Allgaier
nt-531	Antigono, tutore di Filippo, re di Macedonia, Il Giustino
nt-532	Wave Ruler
nt-533	7
nt-534	Ontario
nt-535	Transrapid SMT
nt-536	1
nt-537	8
nt-538	Redlegs
nt-539	4
nt-540	552
nt-541	9.341
nt-542	Inside
nt-543	Socialist Group, RPR Group, UDF Group
nt-544	2
nt-545	Jefferson
nt-546	5
nt-547	Matthew, Luke, John
nt-548	Downhill
nt-549	2
nt-550	B5
nt-551	2
nt-552	4
nt-553	4 March 2008
nt-554	Nesccap Electric double-layer capacitor
nt-555	2
nt-556	Houston Texans
nt-557	3
nt-558	2008
nt-559	Try Not to Think
nt-560	3/32
nt-561	99
nt-562	8
nt-563	1, 3, 4, 5, 6, 9, 10, 13, 14, 15, 16, 17
nt-564	1998
nt-565	1
nt-566	1/10",1.60"
nt-567	Sally Carroll
nt-568	Alexandre Gacon
nt-569	2
nt-570	17 years
nt-571	Ögii nuur
nt-572	Rod Kerr
nt-573	Dreams
nt-574	54
nt-575	Gostaresh Foolad
nt-576	Maggie Roswell
nt-577	16
nt-578	2008
nt-579	3
nt-580	Costa Rica
nt-581	1582
nt-582	Mittersill goods aerial tramway
nt-583	Changing Heights
nt-584	06/05/91
nt-585	John Campbell Mulford
nt-586	Medline
nt-587	8
nt-588	4810
nt-589	Belleville
nt-590	Brenda Fassie
nt-591	12
nt-592	Argentina, Canada, Cuba
nt-593	26
nt-594	1.4% (30 to 34 years)
nt-595	2
nt-596	5
nt-597	7
nt-598	7
nt-599	8
nt-600	3
nt-601	Wave Conqueror, Wave Commander
nt-602	Douglas Hines
nt-603	United States (USA-1), United States (USA-2)
nt-604	Poli Ejido
nt-605	Conservative Party
nt-606	3
nt-607	6
nt-608	Antil Plains Aerodrome
nt-609	4
nt-610	Kitty Wells' Golden Favorites
nt-611	71,496
nt-612	England
nt-613	2003
nt-614	Beit Yitzhak
nt-615	Palestra Itália-SP
nt-616	Luna 15
nt-617	5
nt-618	Henry W. Baker House
nt-619	5
nt-620	male
nt-621	Costa Rica
nt-622	10, 17
nt-623	Bbox Bouygues Telecom
nt-624	14
nt-625	4:27
nt-626	Žabalj
nt-627	Newport
nt-628	1
nt-629	10.5
nt-630	2
nt-631	21 December 1790
nt-632	2
nt-633	Fung Foh Do Yan
nt-634	Your Party (YP)
nt-635	The Maltese Falcon, Malaya
nt-636	200 mi (320 km)
nt-637	8
nt-638	1993
nt-639	Ben McDonald
nt-640	Louisville
nt-641	Revengers Tragedy
nt-642	Viterbo University
nt-643	The Phantom of the Opera
nt-644	1986, 1989
nt-645	EAFF East Asian Cup
nt-646	Spokane
nt-647	10
nt-648	Dobupal
nt-649	7,000
nt-650	Dario Cologna
nt-651	Tonganoxie
nt-652	Gabriela Schaaf
nt-653	Brazil
nt-654	Catherine Jean Milligan
nt-655	5th
nt-656	15
nt-657	6
nt-658	Jupiler League
nt-659	6
nt-660	2
nt-661	2
nt-662	Fay Crocker
nt-663	Teen Choice Awards
nt-664	Ogden Driskill
nt-665	24 October 2007
nt-666	24,972
nt-667	Embrace of the Vampire
nt-668	5
nt-669	Distributor EP
nt-670	4
nt-671	4
nt-672	Kimi Räikkönen (McLaren-Mercedes), Fernando Alonso (Renault), Jenson Button (BAR-Honda)
nt-673	Westmeath
nt-674	Pune Strykers
nt-675	Black Hawk Down
nt-676	mS24
nt-677	4
nt-678	4
nt-679	9
nt-680	Dominican Republic
nt-681	8
nt-682	1990, 1991, 1997, 2008, 2014
nt-683	173,805
nt-684	The Rolling Stones
nt-685	32
nt-686	10
nt-687	Drama Desk Awards, Tony Awards
nt-688	Jerez
nt-689	15000
nt-690	Okayama, Bizen-Mikado
nt-691	2
nt-692	10
nt-693	1030
nt-694	1934
nt-695	Rubberneck
nt-696	6
nt-697	22
nt-698	Argentina
nt-699	3
nt-700	1999
nt-701	Mistadobalina
nt-702	2
nt-703	Zeta Alpha
nt-704	3
nt-705	5
nt-706	Maison Saint-Gabriel
nt-707	Mark Blutman & Howard Busgang
nt-708	3,729.7
nt-709	1
nt-710	Saturday, May 11
nt-711	Industrial Exposition Building
nt-712	305,008
nt-713	3
nt-714	I say my body
nt-715	twelfth
nt-716	3
nt-717	2000
nt-718	Inge Bjarne Storebø
nt-719	F8
nt-720	5
nt-721	Chicago Road Informational Designation
nt-722	Mumbai
nt-723	4.90 m
nt-724	Liam Dickinson
nt-725	20
nt-726	4
nt-727	Belarus
nt-728	Bertram Schäfer Racing
nt-729	6
nt-730	6
nt-731	1991
nt-732	7
nt-733	3
nt-734	CMC Cruiser, Delta Mini Cruiser
nt-735	Helidrive
nt-736	2
nt-737	Jacksonville Jaguars
nt-738	Nelson the Naughty Arsonist
nt-739	António Borges, Miguel Sottomayor
nt-740	Peugeot 207 S2000
nt-741	Monika Bejnar
nt-742	Gunnar Il Professore Gren
nt-743	长寿镇 - Chang Shou Zhen
nt-744	7
nt-745	Crest Whitestrips Classic
nt-746	Lucien Favre
nt-747	2002
nt-748	3
nt-749	Stansly Maponga
nt-750	276
nt-751	2
nt-752	Texas
nt-753	more
nt-754	8
nt-755	Craig Stadler
nt-756	Garra Dembele
nt-757	8
nt-758	yes
nt-759	Olympic Games
nt-760	F
nt-761	1928
nt-762	Central American and Caribbean Games
nt-763	3
nt-764	3
nt-765	2
nt-766	19
nt-767	Rui Conceição
nt-768	Cockatrice
nt-769	2012
nt-770	School 73
nt-771	Raphaël Ibañez
nt-772	UEFA Champions League
nt-773	Aprilia, Yamaha
nt-774	10
nt-775	-0.4%, +0.4%, +0.2%, -0.1%, -0.1%
nt-776	8
nt-777	9
nt-778	Russia
nt-779	1
nt-780	3
nt-781	KS Skenderbeu Korce
nt-782	10
nt-783	Volume 1, Volume 2, Volume 3, Volume 4, Volume 5, Volume 6, Volume 7, Volume 8, Volume 9
nt-784	1:20:34
nt-785	18
nt-786	Bo'ness United
nt-787	0
nt-788	20
nt-789	Paul Moriarty
nt-790	2
nt-791	FS1
nt-792	3
nt-793	Channel 4
nt-794	3
nt-795	2
nt-796	2
nt-797	Newcastle Airport
nt-798	Le colonel
nt-799	Bulgaria, Spain
nt-800	20 July 2011
nt-801	56656
nt-802	6
nt-803	'Good Deeds and Dirty Rags'
nt-804	Japan
nt-805	World Championships
nt-806	2006 FIBA World Championship
nt-807	2002
nt-808	Hungary
nt-809	Challenge
nt-810	67
nt-811	17
nt-812	ACT Premlis Lithium ion capacitor (2000 F, 4.0 V) x2
nt-813	17
nt-814	Millwall
nt-815	10
nt-816	9
nt-817	-4
nt-818	Kevin Watson
nt-819	2005-06-10
nt-820	Karawal Nagar, Nagercoil, Mango
nt-821	12
nt-822	Trinidad and Tobago, Jamaica, Cuba, Martinique, Haiti
nt-823	Lance Russell
nt-824	4
nt-825	24
nt-826	283
nt-827	1981
nt-828	Antwerp, East Flanders, Hainaut, Flemish Brabant, West Flanders
nt-829	Austin Walker
nt-830	2
nt-831	Spain
nt-832	70
nt-833	Otho Venius
nt-834	John William McCormack
nt-835	12
nt-836	Maldives
nt-837	0.1162
nt-838	Ultimo Gladiador and Ultimo Vampiro
nt-839	Tingkhong
nt-840	Royal Bafokeng Stadium, Rustenburg, South Africa
nt-841	Alisa and Lysandra
nt-842	Don Randall
nt-843	Trisha
nt-844	Chris Benoit and Dean Malenko
nt-845	Peregrine Bertie
nt-846	1983/84, 1985/86, 1987/88
nt-847	2010
nt-848	Mystique
nt-849	10
nt-850	China
nt-851	215,725
nt-852	10
nt-853	33
nt-854	35
nt-855	Château de Brissac
nt-856	Yes
nt-857	2
nt-858	3
nt-859	1
nt-860	10
nt-861	Conservative Party
nt-862	7
nt-863	Conservatives
nt-864	4
nt-865	George W. Bush
nt-866	Tom Slater
nt-867	7
nt-868	Edward C. Eicher
nt-869	5
nt-870	3 seasons
nt-871	10
nt-872	4
nt-873	5
nt-874	6
nt-875	63
nt-876	6
nt-877	7
nt-878	2011-12, 2012-13
nt-879	John Mack
nt-880	M45 (伏羲星图Fuxixingtu)
nt-881	Ralf Schumacher
nt-882	Auckland Warriors
nt-883	5
nt-884	variety show
nt-885	4
nt-886	3
nt-887	1887
nt-888	Werder Bremen, Livorno
nt-889	Distributor EP
nt-890	4:19.84
nt-891	3
nt-892	22,395
nt-893	3
nt-894	La
nt-895	South Africa
nt-896	10
nt-897	Large Professor
nt-898	12
nt-899	2
nt-900	22
nt-901	September 21, 2011 to January 25, 2012
nt-902	1996/97
nt-903	Selitë
nt-904	14
nt-905	Spain
nt-906	New Model Pocket Revolver
nt-907	1
nt-908	Cuba
nt-909	08/30/83, 02/03/84, 10/05/84, 04/12/85, 04/29/85, 06/17/85, 10/30/85, 11/26/85, 01/12/86, 08/08/89, 10/18/89, 12/02/90, 04/28/91, 06/05/91, 01/22/92, 03/24/92, 07/31/92, 09/12/92, 11/12/93, 10/22/92, 12/02/92, 01/13/93, 04/26/93, 04/08/93, 06/21/93, 04/09/94, 02/03/94, 03/04/94, 02/03/95, 09/09/94, 11/03/94, 03/02/95, 09/30/94, 09/07/95, 01/11/96, 11/12/95, 03/22/96, 05/19/96, 11/19/96, 04/04/97, 08/07/97, 12/04/98, 01/22/98, 04/17/98, 06/02/98, 10/29/98, 05/27/99, 05/19/00, 03/08/01, 08/10/01, 11/29/02, 12/05/01
nt-910	match against Alessandro Campagna was shorter
nt-911	42,634
nt-912	43
nt-913	5
nt-914	4
nt-915	Lord Finesse
nt-916	2002, 2003, 2004, 2012
nt-917	The Train
nt-918	2
nt-919	Kissing The Future of Love
nt-920	Bobby Wadkins
nt-921	25
nt-922	6
nt-923	PUP–Taguig Pep Squad
nt-924	4
nt-925	potatoes
nt-926	1957
nt-927	3
nt-928	Big Bang
nt-929	3
nt-930	1up.com
nt-931	Leah Poulos
nt-932	6
nt-933	1
nt-934	16
nt-935	2 strokes
nt-936	4
nt-937	Zimbabwe
nt-938	North County Complex
nt-939	Bernie
nt-940	8
nt-941	Martin Rennie
nt-942	365 t
nt-943	Away
nt-944	5
nt-945	3
nt-946	7
nt-947	5
nt-948	Limestone Road north
nt-949	5
nt-950	Charles Frederick
nt-951	397 ft
nt-952	less
nt-953	Russia
nt-954	6
nt-955	-2
nt-956	2004
nt-957	7
nt-958	5
nt-959	Title
nt-960	CM, CM
nt-961	ISO/IEC 12207
nt-962	12
nt-963	6
nt-964	2
nt-965	February 13, 2011
nt-966	perfect fifth
nt-967	16
nt-968	CD, 7\"
nt-969	Gutsy Frog
nt-970	Ethiopia, France
nt-971	2
nt-972	6
nt-973	Jain
nt-974	34 years
nt-975	1, 10, 11, 100, 101
nt-976	1980
nt-977	4
nt-978	Lau4 Siu2 Leung4
nt-979	1979
nt-980	Kamaal Dhamaal Malamaal
nt-981	Tarachand Jagashi Chheda
nt-982	Marit Bjørgen
nt-983	4510
nt-984	4
nt-985	Christopher Linke, Caio Bonfim, Trevor Barron, Rafał Augustyn, Byun Youngjun, Hassanine Sebei, Jared Tallent, Recep Çelik, Nazar Kovalenko, Gurmeet Singh, Babubhai Panucha, David Kimutai, Yerko Araya, Hédi Teraoui, Diego Flores, Juan Manuel Cano, Emerson Hernandez, Ronald Quispe
nt-986	Complete Series 9
nt-987	Peter Hirt
nt-988	Julian Knowle
nt-989	Charles Frederick
nt-990	0.72%
nt-991	Gostaresh Foolad
nt-992	United States
nt-993	South Africa
nt-994	1985
nt-995	Jóhann Haraldsson, Kristinn Magnússon
nt-996	3
nt-997	Luke Summerfield
nt-998	Jean-Philippe Ruggia
nt-999	Dan M. Russell Jr. Federal Bldg & U.S. Courthouse
